Time,States,Thpt
581.439215,9562,16.4453991979196
2704.421665,3590054,1327.47568415889
2479.104546,2671765,1077.71372704344
612.372557,7548,12.3258299440744
597.636415,7196,12.0407656216866
609.947199,7252,11.8895537382409
586.072421,7342,12.5274620284513
2728.418204,3577204,1311.09079786802
2735.939792,3582461,1309.40783509756
547.149579,3134,5.72786696780041
552.507257,4964,8.98449737466525
609.663534,3084,5.05852790598429
570.694885,3177,5.56689762516445
532.47476,3037,5.70355672820999
564.735099,3062,5.42201114367074
460.699916,2937,6.37508256024948
491.341197,2879,5.85947202794802
437.166404,3126,7.15059522277471
623.034351,7556,12.1277422149714
555.554271,9412,16.9416391724581
600.455339,7094,11.8143674295816
644.431214,7987,12.3938751359117
477.319469,2077,4.35138337087189
515.132884,3185,6.1828706707064
581.342811,3261,5.60942689631024
570.8303,3187,5.58309536126586
476.488293,2823,5.92459466784843
505.889477,3112,6.15154127825434
562.533588,3188,5.66721715468482
618.509745,4125,6.66925627824991
589.063513,3406,5.78205902221617
598.910843,3062,5.11261406566319
2684.142286,3593594,1338.82395830636
2650.127357,3593020,1355.79144545995
2703.458441,3596900,1330.48096669447
2701.719817,3595934,1330.97961430839
2719.354052,3594798,1321.9308450682
2744.794001,3592233,1308.74411656804
2713.014994,3588319,1322.63146644445
2705.564679,3591423,1327.42086259325
663.670359,6063,9.13555942009458
637.568222,3964,6.21737386403176
636.676549,4235,6.6517292126618
607.129534,3000,4.94128490214413
2723.121669,3588256,1317.69947734935
2739.762321,3590390,1310.47498992158
2482.658348,3592026,1446.84668468124
2697.504,3593700,1332.23157407737
2670.874253,3591442,1344.66907079807
2729.768417,3595104,1316.99963176766
2728.049998,3594515,1317.61331450495
2777.035097,3594742,1294.45321158647
2697.517548,3595516,1332.89809464476
2467.43538,3595216,1457.06591918934
2472.796329,3595044,1453.83748666993
2691.731017,3593792,1335.12300348843
2726.370038,3594635,1318.46922827722
2717.497975,3594507,1322.7266526298
2716.343578,3595530,1323.66539679319
2718.041313,3594328,1322.39638257478
2707.05445,3594573,1327.85397057676
2694.763521,3591279,1332.68799730052
2543.009808,3594995,1413.67720591977
2378.937824,3596198,1511.68221536504
2344.664802,3589758,1531.03249425587
428.64219,3075,7.17381553131762
373.74695,3051,8.16327731905237
547.040307,16531,30.2189798237299
586.045096,16881,28.8049505323392
666.129758,4947,7.4264810130281
556.058416,16615,29.8799541953161
597.094536,16336,27.3591517173086
562.504656,16796,29.8593084001068
540.615795,16484,30.4911549985327
551.641796,17579,31.8666934366953
570.22149,17705,31.049338389544
600.877125,17586,29.2672149900864
502.390395,17285,34.4055144605223
628.344411,17699,28.167673158471
521.334282,16566,31.7761570109061
513.43272,15678,30.5356464231574
545.365905,17437,31.9730291903745
2617.564126,3567759,1363.00729543235
3620.612656,3571209,986.354890540934
2153.784148,3113337,1445.51950709222
2399.999043,3590475,1496.0318465427
2270.479665,3596949,1584.22427447726
2864.213091,3593878,1254.75231270075
2862.452023,3591867,1254.8217301597
2338.046679,3590462,1535.66737236216
2386.357484,3594726,1506.36525503905
2288.096251,3593020,1570.3098147334
2291.429284,3596633,1569.60244207126
2894.129439,3590194,1240.50913259792
2472.860928,3591974,1452.55803079275
2479.716933,3592692,1448.83149854266
429.004702,3244,7.56168868284339
386.880635,3158,8.16272440206267
410.360946,3111,7.58113078333726
372.479436,3031,8.13736197774956
2230.887902,3594782,1611.36827931931
2404.493333,3597112,1495.99583023672
2245.004244,3592786,1600.34708602537
2263.091286,3592929,1587.62000553256
2276.448009,3590511,1577.24269818806
2394.3202,3593327,1500.77128364034
2263.239445,3593255,1587.66011609523
2267.685556,3590635,1583.39192596595
2267.213002,3591596,1584.14581992592
504.446117,17288,34.2712520076748
511.172315,16418,32.1183278480173
479.55353,16488,34.3819802556766
536.82909,17208,32.0548947896993
516.482819,16365,31.6854683214545
489.899887,16184,33.0353209491555
498.964078,17585,35.2430180354587
567.15741,16003,28.2161525492544
492.532092,16914,34.340909505649
550.467959,16745,30.4195725222946
535.625578,16341,30.5082517922622
589.399599,16470,27.9436905419408
547.39483,17496,31.962304064874
556.108406,15387,27.669065660554
554.030165,16366,29.5399078135033
930.834789,15639,16.8010480321659
542.219992,16975,31.3064812261662
1262.591787,1415684,1121.25234345438
2243.891796,3593968,1601.66724902095
2283.140462,3585863,1570.583614842
2278.673856,3594576,1577.48595330353
2302.969279,3596244,1561.56837730878
2245.594321,3591455,1599.33384512687
2236.277835,3594089,1607.17462908628
2291.009665,3593416,1568.48574447197
2316.428986,3594971,1551.94526649737
2230.768331,3590185,1609.39392500278
2244.526288,3589370,1599.16594391876
2331.60626,3591852,1540.50538533037
2407.691902,3589252,1490.74389336049
2332.677504,3592803,1540.20561943911
2285.776297,3591991,1571.45342906669
2857.630243,3592334,1257.1024571145
395.784272,2795,7.06192791814628
331.551058,3028,9.13283166178284
376.511634,2981,7.91741803123141
398.489063,3047,7.64638300750553
719.838216,3253,4.51907099080719
373.428795,3063,8.20236693316593
468.42574,3185,6.79937016270711
337.440229,3026,8.96751406602442
359.632818,3182,8.84791331807766
391.316618,4126,10.5438915962419
584.814486,16952,28.9869700662647
495.794541,16397,33.0721672871344
534.48661,16469,30.8127457112536
490.541875,16796,34.2396864691725
2768.095846,3571398,1290.20026714783
416.734522,3071,7.36919990516168
468.518298,3736,7.97407489941834
384.129426,2916,7.59119141265684
366.214327,3166,8.64521065010108
376.220219,3573,9.49709723070466
636.378012,3368,5.29245187057154
441.2225,3177,7.20044875318008
686.553758,15822,23.0455369526941
705.919337,16414,23.2519484021444
487.357792,17058,35.0009793215741
713.988719,15690,21.9751371169773
836.589024,16527,19.755219738575
669.4409,15646,23.3717420014224
754.087878,16594,22.0053928515743
523.647964,14884,28.4236758724417
2293.160541,3595339,1567.8531597409
553.853889,3613,6.52338111505072
408.49676,3015,7.38071949456833
381.962229,3136,8.21023588696253
2238.585519,3589878,1603.63674719188
2349.402633,3592313,1529.03250789879
2737.148361,3591907,1312.2807119917
2717.523848,3593681,1322.41010604003
2305.384055,3592506,1558.31128969962
2228.722267,3591438,1611.43362417889
506.717397,3346,6.603286210045
530.117902,3234,6.10052968933692
432.521254,12477,28.8471373016041
416.589442,5208,12.5015170211635
496.922599,12333,24.8187545199569
664.228557,12842,19.3337065452306
510.197713,3080,6.03687535541736
437.910028,3170,7.23892991096335
376.073288,3099,8.24041509696376
639.252889,3022,4.72739357459517
489.788164,3207,6.5477286625489
416.326993,3359,8.0681773136915
369.235612,3018,8.17364279586336
2377.382106,3595545,1512.39676235706
2712.527188,3594437,1325.12478249121
2443.114629,3595680,1471.76066047779
2250.64095,3592991,1596.43011916228
2700.909957,3596878,1331.72821651381
2692.608997,3590638,1333.51630481832
2272.397074,3594224,1581.68835945262
2414.664115,3589972,1486.73762851692
2679.753908,3594958,1341.52542487868
2344.922506,3591135,1531.45146196145
2347.960784,3592559,1530.07623657142
2945.514608,3593026,1219.82963188889
2759.722672,3591620,1301.44236464062
2258.549,3589645,1589.35892026252
2724.965506,3593615,1318.77449167241
2627.1304,3591735,1367.17043051993
2917.010024,3593726,1231.98959565865
2345.778018,3593630,1531.95655020415
2722.929202,3593968,1319.89035828042
632.484563,11366,17.9703990656923
2376.270927,2642383,1111.98726120677
444.932157,11107,24.9633563797458
2437.516789,3590269,1472.92072661904
2698.851513,3596802,1332.71578027716
2704.77765,3593747,1328.66633233235
2713.320233,3589704,1322.99311977305
2699.247905,3591685,1330.62435404576
2725.641328,3594612,1318.81328738056
2566.17537,3591040,1399.37435374886
3663.40446,3592842,980.738555960594
2714.443799,3592995,1323.65790786446
3700.483556,3593416,971.066604031681
2383.225715,3592463,1507.39519861215
3565.841771,3592666,1007.52255167858
2317.903842,3591987,1549.67041121976
410.946243,5411,13.1671723301288
356.553317,2969,8.32694539201272
329.273115,2848,8.64935480687514
360.26575,2988,8.29387750570239
536.674669,17170,31.9933117618413
571.228763,15882,27.8032218066022
548.725819,17069,31.1066099114975
947.018855,15919,16.809591399318
568.314735,17149,30.1751810112754
548.461031,16675,30.4032539369237
500.685711,17625,35.2017235818419
516.141071,16294,31.5688886536991
520.825702,15230,29.2420284588797
527.366087,16956,32.1522381093117
477.120293,14600,30.6002494846724
2314.999761,3588282,1550.01398291721
2323.917407,3590974,1545.22445125779
2479.515644,3593485,1449.26893633263
2301.491389,3593296,1561.29022127747
2413.937228,3593419,1488.61327391567
2409.789711,3590185,1489.83331765914
2553.361856,3596347,1408.475258432
2732.166284,3593299,1315.18312814375
2722.050381,3594760,1320.60744543582
2759.765947,3597011,1303.37538366619
2742.778482,3595398,1310.8597809103
2696.557619,3593790,1332.73250854277
2717.8449,3594573,1322.58209436455
2719.899101,3593198,1321.07768213862
2716.153004,3591142,1322.14274921605
2706.614931,3592622,1327.34877017495
2253.890691,3592984,1594.12522281898
2337.936955,3592275,1536.51491427835
2760.654665,3592299,1301.24895574362
2724.039391,3592206,1318.7056001717
2757.957841,3594895,1303.46263694029
2444.740138,3590318,1468.5888058995
2345.615863,3590374,1530.67433446156
2741.890727,3589231,1309.03502632547
2746.221512,3590001,1307.25106635171
2297.333775,3595345,1565.0076793913
3554.541845,3597757,1012.15772858626
2309.911757,3592351,1555.18971195054
414.216502,7503,18.1137158074885
403.512193,7602,18.8395794027468
2419.490409,3592432,1484.78869212992
395.26454,3222,8.15150278848692
413.070915,3297,7.98168033689808
379.467604,3444,9.07587357575853
481.708199,2867,5.95173593879393
551.368626,4949,8.9758462245184
334.520842,2483,7.42255694788667
565.773377,11793,20.8440348722877
429.418299,2839,6.61126926032558
2428.0289,3594533,1480.43254345119
2362.887973,3594706,1521.31884417527
2228.041602,3595553,1613.77282936389
3701.562845,3596915,971.728740161374
2432.603041,3592645,1476.87269128922
2323.509555,3594702,1547.10015814848
2447.78244,3591320,1467.17287505339
2230.446485,3585864,1607.68887490255
2286.472116,3593898,1571.80924046747
2280.662819,3592401,1575.15655978254
2252.521293,3590722,1594.09014740888
2291.158492,3590973,1567.31758738583
2285.34842,3593679,1572.48626447953
2305.892599,3594744,1558.93817498653
2266.106345,3589776,1584.11630059665
2306.753514,3596861,1559.27409589718
2246.458539,3594502,1600.07493465696
2300.816811,3591691,1561.05039863602
2270.679207,3593557,1582.59123037806
448.78519,11593,25.8319576009182
2135.952193,2976521,1393.53353027036
2225.595946,3592966,1614.38378177204
2241.619962,3594423,1603.4934828083
2215.110909,3593480,1622.25737113193
2225.815739,3594042,1614.70778421879
2278.313361,3590618,1575.99830710908
2243.41308,3590642,1600.52646211727
2278.19481,3594528,1577.79658887029
2264.550769,3593033,1586.64272366331
2341.189696,3590820,1533.75867241131
2423.890491,3594863,1483.09629224087
2353.613429,3589685,1525.1803697964
2313.641077,3590317,1551.80379346282
2337.86196,3592249,1536.55308203056
2317.477455,3594385,1550.99027705536
337.722172,3050,9.03109198290955
365.406407,3014,8.24835017192241
2415.708042,3589623,1485.9506768161
2451.577514,3593316,1465.71584193442
2401.544787,3591710,1495.58318439139
2367.37058,3594540,1518.36811286216
2720.777639,3591474,1320.01746431583
2467.176081,3592230,1456.008765513
542.783524,12017,22.1395813775659
2452.396422,3594914,1465.8780153774
2498.241651,3594032,1438.62464168003
2466.263115,3593019,1456.86767082838
2514.364704,3594198,1429.46565956885
2555.02529,3595299,1407.14810693713
2665.10877,3594652,1348.78247389505
2696.477803,3592824,1332.4137124373
2744.758942,3593645,1309.27526822499
2720.31793,3590409,1319.84903691018
2719.100027,3593189,1321.46260318507
2712.754496,3593402,1324.63221618415
2720.287777,3595768,1321.83367892257
711.47211,10923,15.3526748926251
2668.143933,3018289,1131.23170105981
2705.478317,3593076,1328.07421793874
2689.586215,3596191,1337.07965186013
2694.048846,3596368,1334.93051001645
2721.345566,3592874,1320.25643670128
2717.153387,3596608,1323.66763584554
2786.782202,3591667,1288.82228306983
2754.227056,3594198,1304.97519882035
2687.927961,3591585,1336.19094414413
2697.16166,3589627,1330.89056293348
2439.121778,3593580,1473.30897227551
2700.630834,3593167,1330.49173354732
2740.533857,3590613,1310.18742601143
2729.913743,3593475,1316.33279960377
2736.291587,3592491,1312.90503434201
716.896659,16168,22.5527623779873
406.227375,15207,37.4347002094578
661.709337,15636,23.6297103965453
646.351295,16568,25.6331195251957
514.546635,16519,32.1039899522421
480.828514,17289,35.956686212665
425.907558,15009,35.240041455193
2765.785269,3589942,1297.98290570041
2364.761196,3543156,1498.31450464988
426.753218,3064,7.17979354522407
463.026323,2986,6.44887742159748
680.504507,3125,4.59218119476761
2302.978085,3591010,1559.28969684486
2345.222939,3352261,1429.39971473646
3575.800769,3591449,1004.37614733339
2453.258451,3393536,1383.27700394417
2923.533241,3590594,1228.16937726073
2815.830184,3593742,1276.26375355312
2340.115722,3589751,1534.0057614467
2372.635299,3595368,1515.34793464269
2353.261815,3591166,1526.03759475866
2390.913268,3592396,1502.52041681338
2726.418532,3598775,1319.96425264909
2441.068782,3593652,1472.16335176581
2517.464071,3595166,1428.09029189915
2501.160053,3595098,1437.37222881354
2445.88716,3596164,1470.2902320318
2356.890291,3594397,1525.05910594376
364.336492,7438,20.4151935458609
376.866824,7457,19.7868305860746
618.202832,7346,11.8828313617302
463.201439,7212,15.5698998163086
449.089762,7227,16.0925512258727
490.782844,7377,15.0310877614948
2279.138449,3592187,1576.11618617382
2284.144887,3593862,1573.39493674597
2715.342754,3593772,1323.50584275447
2699.37751,3591561,1330.51453036667
2362.430381,3595604,1521.99363372478
2715.452693,3593255,1323.26186689344
2710.488674,3592140,1325.27393840717
509.999731,2311,4.53137493909776
345.79121,2164,6.2581116506692
503.125586,2528,5.02459042104847
2332.429847,3591032,1539.60986420185
2318.073472,3588989,1548.26369541405
2337.982253,3593860,1537.16307956936
2701.462431,3593969,1330.37904164731
2737.184745,3594924,1313.36549590481
2726.327864,3590695,1317.04445654303
2736.160089,3591090,1312.45610022492
2701.236809,3595182,1330.93921570354
2749.609941,3589449,1305.43934486015
2756.342166,3593605,1303.75867130278
2737.027087,3588483,1311.08786502119
2701.263937,3590353,1329.1381678117
2746.881415,3593263,1308.12454457558
2720.847912,3594930,1321.25356369423
665.368929,3243,4.87398773620822
463.457443,3184,6.87010220267409
370.905647,3135,8.45228436222757
461.719123,3101,6.71620438818169
358.011567,2903,8.10867655569352
391.97014,3496,8.91904674167272
454.438301,15512,34.134446779388
447.304394,14236,31.8262020023886
667.36834,16523,24.7584414927445
465.378239,15191,32.6422654240178
843.811099,15681,18.5835431870753
546.725317,15981,29.2304005376799
524.744507,15746,30.0069839511441
1031.672724,15628,15.148214774359
1254.594575,1400622,1116.39411480796
2533.395467,3593140,1418.30995073775
2334.023018,3596581,1540.93638848595
2594.046449,3584226,1381.71234419558
2381.739302,3596869,1510.18585324583
2499.173517,3592042,1437.29195894804
2425.634244,3593786,1481.58610841248
2582.19213,3594480,1392.02654916309
2681.939543,3594418,1340.23080773078
2717.556586,3594761,1322.79159098989
2828.265206,3595637,1271.32243198837
2723.971691,3596667,1320.37605672753
2713.751657,3594698,1324.62305116522
2737.558706,3597214,1314.02259689112
2728.171365,3592017,1316.63906676918
2415.542753,3593316,1487.58120531597
2789.291552,3596129,1289.2625001576
2360.223187,3595882,1523.53473171773
2738.533553,3591875,1311.60525532549
2595.840324,3591347,1383.50073646518
2492.219667,3590972,1440.87298866501
2750.723843,3594327,1306.68406032354
505.911427,3145,6.21650319038949
623.000598,3102,4.9791284470003
388.527664,3087,7.9453801776133
581.321747,3131,5.38600184176492
2764.988318,3589449,1298.1787216361
2258.175259,3591193,1590.3074775473
2747.285013,3595095,1308.59921085297
2417.647768,3594819,1486.9076660302
2727.356818,3590202,1316.36681211105
563.65686,3564,6.32299587376618
380.135606,2968,7.80774006210826
576.408102,3244,5.62795697830077
652.290327,2740,4.20058352329361
404.349558,10819,26.7565520623124
614.692016,11049,17.9748552322176
2299.881333,2912116,1266.20272020791
2858.408099,3593118,1257.03464150449
2373.529701,3587695,1511.54417763909
2402.020787,3592746,1495.71811345028
2465.852137,3593286,1457.21876266744
2441.418013,3590412,1470.62566954199
2445.256227,3590609,1468.39785555119
3534.184281,3583323,1013.90383610277
3662.621938,3590938,980.428245335323
3528.819592,3587929,1016.75047603284
2415.086173,3592775,1487.63842887523
2710.105284,3596060,1326.90785897896
3668.769407,3595116,979.924220132378
2361.230738,3595617,1522.77240090714
2412.619114,3592653,1489.10906788082
2630.888507,3595997,1366.83747351214
2468.618439,3591842,1455.00087954257
2690.30314,3589078,1334.07940043515
2690.774055,3594418,1335.83048094315
2557.278309,3593028,1405.02032467675
2400.253859,3597490,1498.79563218317
2563.689995,3591773,1401.01689635061
2605.929767,3593017,1378.78504843066
2750.500713,3590663,1305.45794190456
2565.058101,3591469,1400.15113053379
2251.027273,3595282,1597.17389616896
2603.519286,3592996,1380.05353727193
2556.402156,3594144,1405.93841683491
2553.569052,3592616,1406.89988280763
2602.3477,3595144,1381.50025071592
2420.927309,3597067,1485.82197682169
2423.242064,3588907,1481.03528463676
2679.548142,3587300,1338.77049782075
2214.44608,3593306,1622.66583614445
2573.732508,3596773,1397.49293635607
2433.804943,3591215,1475.5558001182
417.534436,3008,7.20419620670521
336.927706,3347,9.93388178056215
341.692357,2879,8.42570792416056
360.93637,2741,7.59413632934802
3659.585758,3593104,981.833529148847
2301.584547,3590170,1559.86883240053
446.78035,3024,6.76842658814337
476.298757,5456,11.4549952520661
497.343788,3275,6.5849822175722
396.478815,3131,7.8970171457963
328.113898,2931,8.93287366937441
495.328231,2957,5.96977885558879
416.314539,2868,6.88902195654522
334.107646,3006,8.99710029383763
361.29252,2980,8.2481641192018
394.474157,2902,7.35662894134786
407.947506,3350,8.21184086366249
364.296295,2961,8.12799921558357
767.855973,3213,4.18437846806982
394.841314,3038,7.69423029526236
386.403962,3134,8.11068288166259
447.598419,2877,6.42763664453426
390.533898,2966,7.59473125172863
431.179476,3235,7.50267621736244
570.963477,15840,27.7425801090251
452.246239,4701,10.3947796456965
434.17696,4075,9.38557402953856
381.372168,4056,10.6352805483173
398.021391,3180,7.98952034213659
364.73314,2902,7.95650211549189
367.810952,3032,8.24336519484607
2404.058788,3592259,1494.24756912392
2250.087245,3593510,1597.05362891384
2374.869043,3591128,1512.13727366777
2447.874331,3596510,1469.23800558453
2528.453882,3592630,1420.88017724027
2424.779407,3591181,1481.03410546657
2758.567144,3593381,1302.62589685945
2563.272209,3592939,1401.70013445497
5074.328145,3593425,708.157789034749
2394.168885,3589832,1499.40633782817
2325.665141,3594504,1545.58106265222
2725.276844,3595354,1319.26193403638
2639.809128,3593315,1361.20258161332
2389.961325,3594629,1504.0532088945
2574.345039,3594960,1396.45616478685
2336.164129,3593126,1538.04518928987
2481.101574,3594454,1448.73311019068
2552.414482,3593256,1407.78702884667
678.239127,2866,4.22564827935679
543.932171,5367,9.86703910182948
603.381257,3431,5.68628866110105
388.817633,3105,7.98574893850043
526.62665,5348,10.1552019822772
402.868247,3283,8.14906616355893
455.666197,2950,6.47403739716071
416.485846,2984,7.16470926601429
566.33385,3595,6.34784588630893
451.85748,5323,11.7802631041983
558.424456,2094,3.74983577008669
584.845126,2145,3.66763764395294
593.892955,2341,3.94178779238087
677.343852,3102,4.57965328959685
648.124087,3230,4.98361357768825
515.235948,3210,6.23015535398939
710.701059,2861,4.02560255647516
628.451444,5135,8.17087787612753
2775.282709,3588909,1293.16879623163
2404.627756,3595729,1495.33706039447
2776.329917,3588759,1292.62699581391
2767.839243,3577564,1292.54761057667
2780.391418,3596314,1293.45601368131
2779.795136,3592105,1292.21932705763
2409.185962,3589689,1490.00079554672
2476.629154,3593595,1451.00246203433
2485.195365,3588913,1444.11705033097
2554.336856,3594036,1407.03290231976
2736.851961,3594333,1313.30925136583
2727.167509,3594035,1317.8636765579
2732.448445,3591681,1314.45517538392
2346.52575,3594489,1531.83445781492
2567.845216,3597320,1400.90998382046
2737.202849,3594691,1313.27168584282
2483.247929,3597536,1448.72203777442
2531.565562,3593506,1419.4797298321
539.35356,2393,4.43679281545857
492.277279,3122,6.34195428710818
479.284428,3083,6.43250608592691
554.616942,3219,5.80400589349469
888.998811,2993,3.36670866481058
560.785208,2845,5.07324365802459
2655.622391,3595250,1353.82575933402
2492.143191,3594036,1442.14666836935
2453.974605,3559061,1450.32511450949
3592.670582,3587453,998.547714887599
2460.159075,3594785,1461.20022746903
2559.5471,3591351,1403.11971598413
2469.957445,3585767,1451.75254223864
2749.128035,3589712,1305.76384740844
2448.873403,3588757,1465.47265187477
6203.666775,3530164,569.044748539061
2272.851577,3591539,1580.19073323766
2719.849571,3593920,1321.36719556833
2755.675858,3591048,1303.14601028812
2537.14016,3595102,1416.98990725053
5963.153098,3592980,602.530228714916
464.394314,3132,6.74426862168687
579.047457,3348,5.78190951281563
